instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,trials.order
0.0018,1.901,[0.18888890301739727],[-0.045370384498878764],[1],[0],[0],[0.8872000000476845],079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,,,,,,,,,,,,,,,,,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,1.9124,3.9161,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[1.8005999999046338],0,0,0,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,3.9176,5.2126,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[1.0806999999284734],0,1,1,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,5.214,6.1405,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.7245999999046333],0,2,2,3,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,6.1417,6.9403,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.5831000000238404],0,3,3,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,6.9418,7.6068,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.4485000000000028],1,0,4,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,7.6084,8.3457,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.5221000000238405],1,1,5,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,8.3469,9.0142,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.4667999999523147],1,2,6,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,9.0155,9.7905,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.5665000000000013],1,3,7,3,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,9.7916,10.5138,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.5176999999284746],2,0,8,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,10.5147,11.3463,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.6203000000715271],2,1,9,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,11.3471,12.0136,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.4552999999523166],2,2,10,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,12.0149,12.7129,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.4892999999523191],2,3,11,3,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,12.7138,13.5287,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.6023999999761571],3,0,12,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,13.5293,14.3396,[-0.041666666666666664],[0.06203704410129123],[1],[0],[0],[0.599399999976157],3,1,13,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,14.3412,15.7901,[-0.041666666666666664],[0.06203704410129123],[0],[0],[1],[1.232200000047687],3,2,14,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,079011,001,2025-06-18_20h25.23.591,mouse,2025.1.1,Win32,59.52380952,15.7912,,,,,,,,3,3,15,3,1,stimuli/mouse_right.jpg,button,R,19
