instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started
0.0004,1.7366,[-0.1277777353922526],[-0.08333333333333333],[1],[0],[0],[0.7337000000001868],183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,,,,,,,,,,,,,,,,,
,,,,,,,,183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,1.7448,2.6939,[-0.12592591179741752],[-0.08240742153591579],[0],[0],[1],[0.7507000000001867],0,0,0,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,2.6951,3.308,[-0.12592591179741752],[-0.08240742153591579],[0],[0],[1],[0.40880000000074546],0,1,1,3,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,3.309,3.9189,[-0.12592591179741752],[-0.08240742153591579],[1],[0],[0],[0.40249999999999986],0,2,2,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,3.9199,4.5916,[-0.12592591179741752],[-0.08148147441722729],[1],[0],[0],[0.46869999999925405],0,3,3,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,4.5926,5.1128,[-0.12592591179741752],[-0.08148147441722729],[0],[0],[1],[0.31560000000055943],1,0,4,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,5.1137,5.8077,[-0.12592591179741752],[-0.07962965082239222],[1],[0],[0],[0.49090000000037115],1,1,5,2,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,5.8081,6.3298,[-0.12592591179741752],[-0.0787037037037037],[0],[0],[1],[0.3205999999996276],1,2,6,3,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,6.3306,6.8921,[-0.12592591179741752],[-0.0787037037037037],[1],[0],[0],[0.35559999999962777],1,3,7,0,1,stimuli/mouse_left.jpg,button,L,
,,,,,,,,183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,6.8932,7.4301,[-0.12592591179741752],[-0.07777779190628617],[0],[0],[1],[0.3363999999994398],2,0,8,1,1,stimuli/mouse_right.jpg,button,R,
,,,,,,,,183792,001,2025-06-18_16h56.01.053,mouse,2025.1.1,Win32,144.9275362,7.4309,8.2104,[-0.12592591179741752],[-0.07777779190628617],[1],[0],[0],[0.574400000000372],2,1,9,2,1,stimuli/mouse_left.jpg,button,L,
