instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0.0002,2.9186,[0.0648148430718316],[0.0763888888888889],[1],[0],[0],[1.9167000000029786],378699,001,2025-06-18_16h54.08.138,mouse,2025.1.1,Win32,59.88023952,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,378699,001,2025-06-18_16h54.08.138,mouse,2025.1.1,Win32,59.88023952,2.9213,3.9352,[-0.06990737915039062],[0.07175924513075087],[1],[0],[0],[0.7997000000029804],0,0,0,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,378699,001,2025-06-18_16h54.08.138,mouse,2025.1.1,Win32,59.88023952,3.9357,4.8014,[-0.03796293470594618],[0.07777777777777778],[0],[0],[1],[0.6496000000089399],0,1,1,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,378699,001,2025-06-18_16h54.08.138,mouse,2025.1.1,Win32,59.88023952,4.8019,5.435,[-0.0375],[0.07777777777777778],[1],[0],[0],[0.4324999999999992],0,2,2,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,378699,001,2025-06-18_16h54.08.138,mouse,2025.1.1,Win32,59.88023952,5.4354,6.268,[-0.0375],[0.07777777777777778],[1],[0],[0],[0.6165999999940404],0,3,3,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,378699,001,2025-06-18_16h54.08.138,mouse,2025.1.1,Win32,59.88023952,6.2684,6.8851,[-0.0375],[0.07777777777777778],[1],[0],[0],[0.41679999999701955],1,0,4,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,378699,001,2025-06-18_16h54.08.138,mouse,2025.1.1,Win32,59.88023952,6.8858,7.5847,[-0.0375],[0.07777777777777778],[0],[0],[1],[0.48249999999999993],1,1,5,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,378699,001,2025-06-18_16h54.08.138,mouse,2025.1.1,Win32,59.88023952,7.5852,8.2182,[-0.0375],[0.07777777777777778],[1],[0],[0],[0.4320000000000004],1,2,6,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,378699,001,2025-06-18_16h54.08.138,mouse,2025.1.1,Win32,59.88023952,8.2186,8.8347,[-0.0375],[0.07777777777777778],[0],[0],[1],[0.3997999999970201],1,3,7,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,378699,001,2025-06-18_16h54.08.138,mouse,2025.1.1,Win32,59.88023952,8.8352,9.4014,[-0.0375],[0.07777777777777778],[1],[0],[0],[0.34910000000894037],2,0,8,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
