instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,trial_letter.started,trial_letter.stopped,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,trials_3.order,trials_2.order
0.0013,4.47,[-0.04],[-0.033333358764648435],[1],[0],[0],[3.46639999999851],575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,4.4903,7.2743,[-0.0475],[0.07],[1],[0],[0],[2.5420000000000016],0,0,0,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,7.2764,8.234,[-0.000833282470703125],[0.0475],[0],[0],[1],[0.6622000000011177],0,1,1,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,8.2348,10.1182,[-0.045833282470703125],[0.02916664123535156],[1],[0],[0],[1.574199999999255],0,2,2,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,10.1201,11.275,[-0.02166664123535156],[0.07666664123535157],[0],[0],[1],[0.8642000000011194],0,3,3,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,11.2768,14.6675,[0.0775],[0.0625],[0],[0],[1],[3.089900000000373],1,0,4,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,14.6684,17.9882,[-0.059166641235351564],[0.10333332061767578],[1],[0],[0],[3.002199999999256],1,1,5,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,17.9891,19.1748,[-0.025],[0.06833332061767577],[0],[0],[1],[0.8780000000000001],1,2,6,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,19.1759,20.195,[-0.03416664123535156],[0.08083332061767579],[1],[0],[0],[0.7124000000003718],1,3,7,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,20.1962,21.3702,[-0.035],[0.06416664123535157],[1],[0],[0],[0.8330999999996251],2,0,8,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,21.3718,22.294,[-0.035],[0.06416664123535157],[1],[0],[0],[0.61019999999926],2,1,9,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,,,,,,,,,,,,,
,,,,,,,,575673,001,2025-06-18_16h52.58.148,mouse,2025.1.1,Win32,7.501875469,22.2947,23.2292,[-0.035],[0.06416664123535157],[0],[0],[1],[0.6480000000000032],2,2,10,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,,,,,,,,,,,,,
