isi,side,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,mouse_none.started,mouse_none.stopped,image.started,mouse.started,image.stopped,mouse.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
0.1,right,0,0,0,[],[],[],[],[],[],0,0,0,1,0.026136599946767092,,0.015774199971929193,0.026136599946767092,0.026136599946767092,0.026136599946767092,0.026136599946767092,1.5256582999718376,1.5256582999718376,1.5102983999531716,[],[],[],[],[],[],pilot,001,2025-06-17_21h27.06.717,mouse,,2025.1.1,60.45148798674006,2025-06-17 21h27.09.277957 +0200,
0.3,right,1,1,0,[np.float64(0.105)],[np.float64(-0.06166666666666667)],[1],[0],[0],[0.9021649999776855],0,1,1,5,1.5256582999718376,,1.5104734999476932,1.5256582999718376,1.5256582999718376,1.5256582999718376,1.5256582999718376,,,2.412787599954754,[np.float64(0.105)],[np.float64(-0.06166666666666667)],[1],[0],[0],[0.9021649999776855],pilot,001,2025-06-17_21h27.06.717,mouse,,2025.1.1,60.45148798674006,2025-06-17 21h27.09.277957 +0200,
0.4,right,2,2,0,[np.float64(0.49666666666666665)],[np.float64(-0.215)],[1],[0],[0],[0.6184973000199534],0,2,2,7,2.4255888999905437,,2.412986599956639,2.4255888999905437,2.4255888999905437,2.4255888999905437,2.4255888999905437,,,3.0316806999617256,[np.float64(0.49666666666666665)],[np.float64(-0.215)],[1],[0],[0],[0.6184973000199534],pilot,001,2025-06-17_21h27.06.717,mouse,,2025.1.1,60.45148798674006,2025-06-17 21h27.09.277957 +0200,
0.3,left,3,3,0,[np.float64(0.085)],[np.float64(0.021666666666666667)],[1],[0],[0],[0.44786189997103065],0,3,3,4,3.043268499954138,,3.0320550999604166,3.043268499954138,3.043268499954138,3.043268499954138,3.043268499954138,,,3.4801493999548256,[np.float64(0.085)],[np.float64(0.021666666666666667)],[1],[0],[0],[0.44786189997103065],pilot,001,2025-06-17_21h27.06.717,mouse,,2025.1.1,60.45148798674006,2025-06-17 21h27.09.277957 +0200,
0.1,left,4,4,0,[np.float64(0.085)],[np.float64(0.021666666666666667)],[1],[0],[0],[0.16579800000181422],0,4,4,0,3.492866899992805,,3.480415500001982,3.492866899992805,3.492866899992805,3.492866899992805,3.492866899992805,,,3.6464176999870688,[np.float64(0.085)],[np.float64(0.021666666666666667)],[1],[0],[0],[0.16579800000181422],pilot,001,2025-06-17_21h27.06.717,mouse,,2025.1.1,60.45148798674006,2025-06-17 21h27.09.277957 +0200,
0.4,left,5,5,0,[np.float64(0.085)],[np.float64(0.021666666666666667)],[1],[0],[0],[0.15040729998145252],0,5,5,6,3.659051799972076,,3.6466848999843933,3.659051799972076,3.659051799972076,3.659051799972076,3.659051799972076,,,3.7972913999692537,[np.float64(0.085)],[np.float64(0.021666666666666667)],[1],[0],[0],[0.15040729998145252],pilot,001,2025-06-17_21h27.06.717,mouse,,2025.1.1,60.45148798674006,2025-06-17 21h27.09.277957 +0200,
0.2,left,6,6,0,[np.float64(0.085)],[np.float64(0.021666666666666667)],[1],[0],[0],[0.21448339999187738],0,6,6,2,3.810222799947951,,3.7975264999549836,3.810222799947951,3.810222799947951,3.810222799947951,3.810222799947951,,,4.012177199998405,[np.float64(0.085)],[np.float64(0.021666666666666667)],[1],[0],[0],[0.21448339999187738],pilot,001,2025-06-17_21h27.06.717,mouse,,2025.1.1,60.45148798674006,2025-06-17 21h27.09.277957 +0200,
0.2,right,7,7,0,[],[],[],[],[],[],0,7,7,3,4.026437099964824,,4.012402999971528,4.026437099964824,4.026437099964824,4.026437099964824,4.026437099964824,5.526012099988293,5.526012099988293,5.51343910000287,[],[],[],[],[],[],pilot,001,2025-06-17_21h27.06.717,mouse,,2025.1.1,60.45148798674006,2025-06-17 21h27.09.277957 +0200,
0.4,right,8,0,1,[],[],[],[],[],[],1,0,8,7,5.526012099988293,,5.513704099983443,5.526012099988293,5.526012099988293,5.526012099988293,5.526012099988293,7.026113500003703,7.026113500003703,7.011726999946404,[],[],[],[],[],[],pilot,001,2025-06-17_21h27.06.717,mouse,,2025.1.1,60.45148798674006,2025-06-17 21h27.09.277957 +0200,
0.1,right,9,1,1,,,,,,,1,1,9,1,7.026113500003703,,7.011928899970371,7.026113500003703,7.026113500003703,7.026113500003703,7.026113500003703,,,,,,,,,,,,,,,,,,
