mouse_stim_side,thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
stimuli/mouse_right.jpg,0,0,0,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[0],[0],[1],[0.5507475999766029],0,0,0,1,0.02829250000650063,,0.018784400017466396,0.02829250000650063,0.21223699999973178,0.21223699999973178,0.22843969997484237,0.7479011999676004,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[0],[0],[1],[0.5507475999766029],pilot,001,2025-06-17_21h56.45.079,mouse,,2025.1.1,60.03348666827258,2025-06-17 21h56.47.116846 +0200,
stimuli/mouse_left.jpg,1,1,0,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.29781180003192276],0,1,1,0,0.761464299983345,,0.750455699977465,0.761464299983345,0.9632870999630541,0.9632870999630541,0.9632870999630541,1.2461436999728903,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.29781180003192276],pilot,001,2025-06-17_21h56.45.079,mouse,,2025.1.1,60.03348666827258,2025-06-17 21h56.47.116846 +0200,
stimuli/mouse_right.jpg,2,0,1,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[0],[0],[1],[0.33384539996040985],1,0,2,1,1.2611769000068307,,1.2482051000115462,1.2611769000068307,1.4624638999812305,1.4624638999812305,1.4624638999812305,1.7815425000153482,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[0],[0],[1],[0.33384539996040985],pilot,001,2025-06-17_21h56.45.079,mouse,,2025.1.1,60.03348666827258,2025-06-17 21h56.47.116846 +0200,
stimuli/mouse_left.jpg,3,1,1,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.21638449997408316],1,1,3,0,1.7954857000149786,,1.784621300001163,1.7954857000149786,1.9952020999626257,1.9952020999626257,1.9952020999626257,2.197650199988857,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.21638449997408316],pilot,001,2025-06-17_21h56.45.079,mouse,,2025.1.1,60.03348666827258,2025-06-17 21h56.47.116846 +0200,
stimuli/mouse_left.jpg,4,0,2,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[0],[0],[1],[0.25184589996933937],2,0,4,0,2.2109852000139654,,2.2000086999614723,2.2109852000139654,2.4113871000008658,2.4113871000008658,2.4113871000008658,2.649316099996213,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[0],[0],[1],[0.25184589996933937],pilot,001,2025-06-17_21h56.45.079,mouse,,2025.1.1,60.03348666827258,2025-06-17 21h56.47.116846 +0200,
stimuli/mouse_right.jpg,5,1,2,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.2482445000205189],2,1,5,1,2.6612796999979764,,2.652397900004871,2.6612796999979764,2.861540400015656,2.861540400015656,2.861540400015656,3.0976665999623947,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.2482445000205189],pilot,001,2025-06-17_21h56.45.079,mouse,,2025.1.1,60.03348666827258,2025-06-17 21h56.47.116846 +0200,
stimuli/mouse_left.jpg,6,0,3,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.3514708000002429],3,0,6,0,3.1110420000040904,,3.1011645999969915,3.1110420000040904,3.3109430999611504,3.3109430999611504,3.3109430999611504,3.6475372000131756,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.3514708000002429],pilot,001,2025-06-17_21h56.45.079,mouse,,2025.1.1,60.03348666827258,2025-06-17 21h56.47.116846 +0200,
stimuli/mouse_right.jpg,7,1,3,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[0],[0],[1],[0.3177410999778658],3,1,7,1,3.661219900008291,,3.6495474000112154,3.661219900008291,3.861453299992718,3.861453299992718,3.861453299992718,4.165421599987894,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[0],[0],[1],[0.3177410999778658],pilot,001,2025-06-17_21h56.45.079,mouse,,2025.1.1,60.03348666827258,2025-06-17 21h56.47.116846 +0200,
stimuli/mouse_left.jpg,8,0,4,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.24983879999490455],4,0,8,0,4.177701500011608,,4.168311399989761,4.177701500011608,4.37812369997846,4.37812369997846,4.37812369997846,4.615873500006273,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[1],[0],[0],[0.24983879999490455],pilot,001,2025-06-17_21h56.45.079,mouse,,2025.1.1,60.03348666827258,2025-06-17 21h56.47.116846 +0200,
stimuli/mouse_right.jpg,9,1,4,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[0],[0],[1],[0.44859409995842725],4,1,9,1,4.627951100002974,,4.620021899987478,4.627951100002974,4.828685599961318,4.828685599961318,4.828685599961318,5.264887099969201,[np.float64(-0.30666666666666664)],[np.float64(0.29333333333333333)],[0],[0],[1],[0.44859409995842725],pilot,001,2025-06-17_21h56.45.079,mouse,,2025.1.1,60.03348666827258,2025-06-17 21h56.47.116846 +0200,
