thisN,thisTrialN,thisRepN,mouse_stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,instrutions_text.started,mouse_3.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,instructions_post.started,instructions_mouse_2.started,instructions_post.stopped,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,mouse_none_2.stopped,image_2.started,mouse_2.started,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006790400017052889,0.021279500040691346,4.004863900016062,5.10812759998953,[np.float64(0.25666666666666665)],[np.float64(-0.01)],[1],[0],[0],[1.1174885000218637],,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_22h39.56.800,mouse,,2025.1.1,60.0033361969253,2025-06-17 22h39.59.275440 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.108232900034636,5.122712499985937,8.122858099988662,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_22h39.56.800,mouse,,2025.1.1,60.0033361969253,2025-06-17 22h39.59.275440 +0200,
0,0,0,stimuli/mouse_right.jpg,[np.float64(0.365)],[np.float64(0.04)],[0],[0],[1],[0.5173244000179693],,,,,,,0,0,0,0,0,0,0,1,,,,,8.138180600013584,,,,,,,,,,,,,,,8.130086700024549,8.138180600013584,8.421919899992645,8.421919899992645,8.438693900010549,8.925602100032847,[np.float64(0.365)],[np.float64(0.04)],[0],[0],[1],[0.5173244000179693],,,,,,,,,,,,,pilot,001,2025-06-17_22h39.56.800,mouse,,2025.1.1,60.0033361969253,2025-06-17 22h39.59.275440 +0200,
1,1,0,stimuli/mouse_left.jpg,[np.float64(0.365)],[np.float64(0.04)],[1],[0],[0],[0.3677005000063218],,,,,,,0,0,0,0,0,1,1,0,,,,,8.938782699988224,,,,,,,,,,,,,,,8.92893550003646,8.938782699988224,9.239173699985258,9.239173699985258,9.239173699985258,9.592216300021391,[np.float64(0.365)],[np.float64(0.04)],[1],[0],[0],[0.3677005000063218],,,,,,,,,,,,,pilot,001,2025-06-17_22h39.56.800,mouse,,2025.1.1,60.0033361969253,2025-06-17 22h39.59.275440 +0200,
2,0,1,stimuli/mouse_left.jpg,[np.float64(0.365)],[np.float64(0.04)],[1],[0],[0],[0.3164183999761008],,,,,,,0,0,0,0,1,0,2,0,,,,,9.605475999996997,,,,,,,,,,,,,,,9.594975300016813,9.605475999996997,9.905472700018436,9.905472700018436,9.905472700018436,10.208435600041412,[np.float64(0.365)],[np.float64(0.04)],[1],[0],[0],[0.3164183999761008],,,,,,,,,,,,,pilot,001,2025-06-17_22h39.56.800,mouse,,2025.1.1,60.0033361969253,2025-06-17 22h39.59.275440 +0200,
3,1,1,stimuli/mouse_right.jpg,[np.float64(0.365)],[np.float64(0.04)],[0],[0],[1],[0.3168521999614313],,,,,,,0,0,0,0,1,1,3,1,,,,,10.221457200008444,,,,,,,,,,,,,,,10.210539799998514,10.221457200008444,10.52228750003269,10.52228750003269,10.52228750003269,10.826592500030529,[np.float64(0.365)],[np.float64(0.04)],[0],[0],[1],[0.3168521999614313],,,,,,,,,,,,,pilot,001,2025-06-17_22h39.56.800,mouse,,2025.1.1,60.0033361969253,2025-06-17 22h39.59.275440 +0200,
0,0,0,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(0.365)],[np.float64(0.04)],[0],[0],[1],[0.8199751999927685],0,0,0,0,,,,,0,0,0,1,10.837960100034252,,,,,,,,,,,,,,,,,,,,,,,,,,,10.83395629998995,10.837960100034252,11.139138900034595,11.139138900034595,11.139138900034595,11.943491899990477,[np.float64(0.365)],[np.float64(0.04)],[0],[0],[1],[0.8199751999927685],pilot,001,2025-06-17_22h39.56.800,mouse,,2025.1.1,60.0033361969253,2025-06-17 22h39.59.275440 +0200,
1,1,0,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(0.365)],[np.float64(0.04)],[1],[0],[0],[0.4175482999999076],0,0,0,0,,,,,0,1,1,0,11.955285400035791,,,,,,,,,,,,,,,,,,,,,,,,,,,11.94702409999445,11.955285400035791,12.25579900003504,12.25579900003504,12.25579900003504,12.66023189999396,[np.float64(0.365)],[np.float64(0.04)],[1],[0],[0],[0.4175482999999076],pilot,001,2025-06-17_22h39.56.800,mouse,,2025.1.1,60.0033361969253,2025-06-17 22h39.59.275440 +0200,
2,0,1,stimuli/mouse_right_letter.jpg,,,,,,,[np.float64(0.365)],[np.float64(0.04)],[0],[0],[1],[0.5005456000217237],0,0,0,0,,,,,1,0,2,1,12.671516000002157,,,,,,,,,,,,,,,,,,,,,,,,,,,12.664038499991875,12.671516000002157,12.971882299985737,12.971882299985737,12.971882299985737,13.459013000014238,[np.float64(0.365)],[np.float64(0.04)],[0],[0],[1],[0.5005456000217237],pilot,001,2025-06-17_22h39.56.800,mouse,,2025.1.1,60.0033361969253,2025-06-17 22h39.59.275440 +0200,
3,1,1,stimuli/mouse_left_letter.jpg,,,,,,,[np.float64(0.365)],[np.float64(0.04)],[1],[0],[0],[0.3533335000392981],0,0,0,0,,,,,1,1,3,0,13.471233499993104,,,,,,,,,,,,,,,,,,,,,,,,,,,13.461867800040636,13.471233499993104,13.771200400020462,13.771200400020462,13.771200400020462,14.109568800020497,[np.float64(0.365)],[np.float64(0.04)],[1],[0],[0],[0.3533335000392981],pilot,001,2025-06-17_22h39.56.800,mouse,,2025.1.1,60.0033361969253,2025-06-17 22h39.59.275440 +0200,
