thisN,thisTrialN,thisRepN,mouse_stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,instrutions_text.started,mouse_3.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,instructions_post.started,instructions_mouse_2.started,instructions_post.stopped,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,image_2.started,mouse_2.started,mouse_none_2.stopped,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009935600042808801,0.023620199994184077,1.0076714000315405,1.2448420000146143,[np.float64(0.27166666666666667)],[np.float64(-0.0016666666666666668)],[1],[0],[0],[0.2508043000125326],,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2449361000326462,1.2591395000345074,2.7587543000117876,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
0,0,0,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.40184349997434765],,,,,,,0,0,0,0,0,0,0,1,,,,,2.773631000018213,,,,,,,,,,,,,,,2.7671856000088155,2.773631000018213,2.957513100001961,2.957513100001961,2.973835600016173,3.344506299996283,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.40184349997434765],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
1,1,0,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.31613649998325855],,,,,,,0,0,0,0,0,1,1,0,,,,,3.357323800039012,,,,,,,,,,,,,,,3.347092700016219,3.357323800039012,3.557246300042607,3.557246300042607,3.557246300042607,3.859133300022222,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.31613649998325855],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
2,0,1,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.28626829996937886],,,,,,,0,0,0,0,1,0,2,0,,,,,3.8738970000413246,,,,,,,,,,,,,,,3.8611820000223815,3.8738970000413246,4.074106900021434,4.074106900021434,4.074106900021434,4.34721110004466,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.28626829996937886],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
3,1,1,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.2515325000276789],,,,,,,0,0,0,0,1,1,3,1,,,,,4.3578865000163205,,,,,,,,,,,,,,,4.351397900027223,4.3578865000163205,4.557177200040314,4.557177200040314,4.557177200040314,4.79491280001821,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.2515325000276789],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
4,0,2,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.3323713999707252],,,,,,,0,0,0,0,2,0,4,1,,,,,4.807488300022669,,,,,,,,,,,,,,,4.7970512000028975,4.807488300022669,5.007549900037702,5.007549900037702,5.007549900037702,5.3259496000246145,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.3323713999707252],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
5,1,2,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.2503755000070669],,,,,,,0,0,0,0,2,1,5,0,,,,,5.340278599993326,,,,,,,,,,,,,,,5.32814729999518,5.340278599993326,5.540689699992072,5.540689699992072,5.540689699992072,5.778100499999709,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.2503755000070669],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
6,0,3,stimuli/mouse_right.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.29975659999763593],,,,,,,0,0,0,0,3,0,6,1,,,,,5.790596300037578,,,,,,,,,,,,,,,5.780971800035331,5.790596300037578,5.991076800040901,5.991076800040901,5.991076800040901,6.2765558999963105,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[0],[0],[1],[0.29975659999763593],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
7,1,3,stimuli/mouse_left.jpg,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.38355450000381097],,,,,,,0,0,0,0,3,1,7,0,,,,,6.290222200041171,,,,,,,,,,,,,,,6.279036100022495,6.290222200041171,6.490210200019646,6.490210200019646,6.490210200019646,6.859601400035899,[np.float64(0.26166666666666666)],[np.float64(-0.03166666666666667)],[1],[0],[0],[0.38355450000381097],,,,,,,,,,,,,pilot,001,2025-06-17_22h43.17.865,mouse,,2025.1.1,59.94140128650105,2025-06-17 22h43.20.358853 +0200,
