thisN,thisTrialN,thisRepN,mouse_stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,instrutions_text.started,mouse_3.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,instructions_post.started,instructions_mouse_2.started,instructions_post.stopped,trial.started,mouse_none.started,mouse_none.stopped,image.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,image_2.started,mouse_2.started,mouse_none_2.stopped,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01874359999783337,0.033273300039581954,0.999803900020197,2.2027406999841332,[np.float64(0.013333333333333334)],[np.float64(0.008333333333333333)],[1],[0],[0],[1.2166901000309736],,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_22h45.12.025,mouse,,2025.1.1,60.301228763353095,2025-06-17 22h45.15.524074 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2028323999838904,2.2176010999828577,3.7034482000162825,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_22h45.12.025,mouse,,2025.1.1,60.301228763353095,2025-06-17 22h45.15.524074 +0200,
0,0,0,stimuli/mouse_right.jpg,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[0],[0],[1],[0.4331304000224918],,,,,,,0,0,0,0,0,0,0,1,,,,,3.7164854999864474,,,,,,,,,,,,,,,3.7125605000182986,3.7164854999864474,3.918121099995915,3.918121099995915,3.918121099995915,4.338227100030053,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[0],[0],[1],[0.4331304000224918],,,,,,,,,,,,,pilot,001,2025-06-17_22h45.12.025,mouse,,2025.1.1,60.301228763353095,2025-06-17 22h45.15.524074 +0200,
1,1,0,stimuli/mouse_left.jpg,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[1],[0],[0],[0.33184989995788783],,,,,,,0,0,0,0,0,1,1,0,,,,,4.350432600011118,,,,,,,,,,,,,,,4.341300300031435,4.350432600011118,4.550417400023434,4.550417400023434,4.550417400023434,4.869887300010305,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[1],[0],[0],[0.33184989995788783],,,,,,,,,,,,,pilot,001,2025-06-17_22h45.12.025,mouse,,2025.1.1,60.301228763353095,2025-06-17 22h45.15.524074 +0200,
2,0,1,stimuli/mouse_left.jpg,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[1],[0],[0],[0.3215675000101328],,,,,,,0,0,0,0,1,0,2,0,,,,,4.883461299992632,,,,,,,,,,,,,,,4.872208099986892,4.883461299992632,5.084931600023992,5.084931600023992,5.084931600023992,5.390652300033253,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[1],[0],[0],[0.3215675000101328],,,,,,,,,,,,,pilot,001,2025-06-17_22h45.12.025,mouse,,2025.1.1,60.301228763353095,2025-06-17 22h45.15.524074 +0200,
3,1,1,stimuli/mouse_right.jpg,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[0],[0],[1],[0.28216470003826544],,,,,,,0,0,0,0,1,1,3,1,,,,,5.400315799983218,,,,,,,,,,,,,,,5.394344600033946,5.400315799983218,5.602756300009787,5.602756300009787,5.602756300009787,5.869001000013668,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[0],[0],[1],[0.28216470003826544],,,,,,,,,,,,,pilot,001,2025-06-17_22h45.12.025,mouse,,2025.1.1,60.301228763353095,2025-06-17 22h45.15.524074 +0200,
4,0,2,stimuli/mouse_left.jpg,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[1],[0],[0],[0.3014355999766849],,,,,,,0,0,0,0,2,0,4,0,,,,,5.883486100006849,,,,,,,,,,,,,,,5.871130999992602,5.883486100006849,6.083317700016778,6.083317700016778,6.083317700016778,6.372391499986406,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[1],[0],[0],[0.3014355999766849],,,,,,,,,,,,,pilot,001,2025-06-17_22h45.12.025,mouse,,2025.1.1,60.301228763353095,2025-06-17 22h45.15.524074 +0200,
5,1,2,stimuli/mouse_right.jpg,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[0],[0],[1],[0.3006059000035748],,,,,,,0,0,0,0,2,1,5,1,,,,,6.383478500007186,,,,,,,,,,,,,,,6.375159799994435,6.383478500007186,6.58471379999537,6.58471379999537,6.58471379999537,6.869754599989392,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[0],[0],[1],[0.3006059000035748],,,,,,,,,,,,,pilot,001,2025-06-17_22h45.12.025,mouse,,2025.1.1,60.301228763353095,2025-06-17 22h45.15.524074 +0200,
6,0,3,stimuli/mouse_left.jpg,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[1],[0],[0],[0.302437300037127],,,,,,,0,0,0,0,3,0,6,0,,,,,6.883875500003342,,,,,,,,,,,,,,,6.872395400016103,6.883875500003342,7.083716900029685,7.083716900029685,7.083716900029685,7.3729260000400245,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[1],[0],[0],[0.302437300037127],,,,,,,,,,,,,pilot,001,2025-06-17_22h45.12.025,mouse,,2025.1.1,60.301228763353095,2025-06-17 22h45.15.524074 +0200,
7,1,3,stimuli/mouse_right.jpg,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[0],[0],[1],[0.30191830004332587],,,,,,,0,0,0,0,3,1,7,1,,,,,7.383592800004408,,,,,,,,,,,,,,,7.375813200022094,7.383592800004408,7.5838413999881595,7.5838413999881595,7.5838413999881595,7.87293310003588,[np.float64(-0.008333333333333333)],[np.float64(-0.01)],[0],[0],[1],[0.30191830004332587],,,,,,,,,,,,,pilot,001,2025-06-17_22h45.12.025,mouse,,2025.1.1,60.301228763353095,2025-06-17 22h45.15.524074 +0200,
