thisN,thisTrialN,thisRepN,mouse_stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,profilepic.started,drawing_area.started,brush.started,start_button.started,text.started,mouse_5.started,profilepic.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,instructions.started,instrutions_text.started,mouse_3.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,instructions_post.started,instructions_mouse_2.started,instructions_post.stopped,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,image_2.started,mouse_2.started,mouse_none_2.stopped,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010599400033243,0.02672379999421537,0.02672379999421537,0.02672379999421537,0.02672379999421537,1.0112417999771424,55.04684890003409,"[np.float64(0.015), np.float64(-0.005), np.float64(-0.0016666666666666668), np.float64(0.01), np.float64(0.22166666666666668), np.float64(-0.11666666666666667), np.float64(0.28833333333333333), np.float64(0.15666666666666668)]","[np.float64(0.07666666666666666), np.float64(0.03666666666666667), np.float64(-0.021666666666666667), np.float64(0.175), np.float64(-0.11333333333333333), np.float64(-0.03), np.float64(-0.33666666666666667), np.float64(-0.39)]","[1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0, 0, 0, 0]","[1.3870628000004217, 23.269140899996273, 25.70220880000852, 28.88432479999028, 32.4860800000024, 47.72014369996032, 49.87031480000587, 54.035428199975286]","[None, None, None, None, None, None, None, 'start_button']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_23h43.25.215,mouse,,2025.1.1,59.3560227622379,2025-06-17 23h43.27.978676 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.04712380003184,55.05913720000535,56.06016789999558,56.64756030001445,[np.float64(0.21833333333333332)],[np.float64(-0.19166666666666668)],[1],[0],[0],[0.602415099972859],,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_23h43.25.215,mouse,,2025.1.1,59.3560227622379,2025-06-17 23h43.27.978676 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.64772390003782,56.66022580000572,58.16188329999568,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_23h43.25.215,mouse,,2025.1.1,59.3560227622379,2025-06-17 23h43.27.978676 +0200,
0,0,0,stimuli/mouse_right.jpg,[np.float64(0.041666666666666664)],[np.float64(0.075)],[0],[0],[1],[0.5982846999540925],,,,,,,0,0,0,0,0,0,0,1,,,,,58.17583790002391,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.170636099996045,58.17583790002391,58.36047549999785,58.36047549999785,58.37576570000965,58.9438357000472,[np.float64(0.041666666666666664)],[np.float64(0.075)],[0],[0],[1],[0.5982846999540925],,,,,,,,,,,,,pilot,001,2025-06-17_23h43.25.215,mouse,,2025.1.1,59.3560227622379,2025-06-17 23h43.27.978676 +0200,
1,1,0,stimuli/mouse_left.jpg,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[1],[0],[0],[0.3313213000074029],,,,,,,0,0,0,0,0,1,1,0,,,,,58.95820500003174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.946002700016834,58.95820500003174,59.14304340002127,59.14304340002127,59.15937660000054,59.4647426000447,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[1],[0],[0],[0.3313213000074029],,,,,,,,,,,,,pilot,001,2025-06-17_23h43.25.215,mouse,,2025.1.1,59.3560227622379,2025-06-17 23h43.27.978676 +0200,
2,0,1,stimuli/mouse_left.jpg,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[1],[0],[0],[0.3180587000097148],,,,,,,0,0,0,0,1,0,2,0,,,,,59.4752165999962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.468907200032845,59.4752165999962,59.67646710004192,59.67646710004192,59.67646710004192,59.98206910002045,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[1],[0],[0],[0.3180587000097148],,,,,,,,,,,,,pilot,001,2025-06-17_23h43.25.215,mouse,,2025.1.1,59.3560227622379,2025-06-17 23h43.27.978676 +0200,
3,1,1,stimuli/mouse_right.jpg,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[0],[0],[1],[0.48310099996160716],,,,,,,0,0,0,0,1,1,3,1,,,,,59.99205250001978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.98632810002891,59.99205250001978,60.19375190004939,60.19375190004939,60.19375190004939,60.6630333000212,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[0],[0],[1],[0.48310099996160716],,,,,,,,,,,,,pilot,001,2025-06-17_23h43.25.215,mouse,,2025.1.1,59.3560227622379,2025-06-17 23h43.27.978676 +0200,
4,0,2,stimuli/mouse_left.jpg,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[1],[0],[0],[0.31642539997119457],,,,,,,0,0,0,0,2,0,4,0,,,,,60.67498750000959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.665840100031346,60.67498750000959,60.877799200010486,60.877799200010486,60.877799200010486,61.17957380000735,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[1],[0],[0],[0.31642539997119457],,,,,,,,,,,,,pilot,001,2025-06-17_23h43.25.215,mouse,,2025.1.1,59.3560227622379,2025-06-17 23h43.27.978676 +0200,
5,1,2,stimuli/mouse_right.jpg,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[0],[0],[1],[0.2532175999949686],,,,,,,0,0,0,0,2,1,5,1,,,,,61.19220730004599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.1826727000298,61.19220730004599,61.39333730004728,61.39333730004728,61.39333730004728,61.633199400035664,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[0],[0],[1],[0.2532175999949686],,,,,,,,,,,,,pilot,001,2025-06-17_23h43.25.215,mouse,,2025.1.1,59.3560227622379,2025-06-17 23h43.27.978676 +0200,
6,0,3,stimuli/mouse_right.jpg,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[1],[0],[0],[0.24964920000638813],,,,,,,0,0,0,0,3,0,6,1,,,,,61.64171570003964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.63655530003598,61.64171570003964,61.84349350002594,61.84349350002594,61.84349350002594,62.08099930000026,[np.float64(-0.005)],[np.float64(-0.011666666666666667)],[1],[0],[0],[0.24964920000638813],,,,,,,,,,,,,pilot,001,2025-06-17_23h43.25.215,mouse,,2025.1.1,59.3560227622379,2025-06-17 23h43.27.978676 +0200,
