thisN,thisTrialN,thisRepN,mouse_stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,profilepic.started,drawing_area.started,brush.started,start_button.started,text.started,draw_text.started,mouse_5.started,profilepic.stopped,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.time,mouse_5.clicked_name,instructions.started,instrutions_text.started,mouse_3.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,instructions_post.started,instructions_mouse_2.started,instructions_post.stopped,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,mouse_none_2.stopped,image_2.started,mouse_2.started,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017772299994248897,0.03339509997749701,0.03339509997749701,0.03339509997749701,0.03339509997749701,0.03339509997749701,1.0034532999852672,4.68761209998047,"[np.float64(-0.18166666666666667), np.float64(0.12166666666666667)]","[np.float64(0.16833333333333333), np.float64(-0.375)]","[1, 1]","[0, 0]","[0, 0]","[1.683492699987255, 3.6840090000187047]","[None, 'start_button']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_23h47.32.675,mouse,,2025.1.1,59.76539690575014,2025-06-17 23h47.35.126749 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.687734599981923,4.700355299981311,5.701662399980705,9.687886299972888,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[1],[0],[0],[4.001673299993854],,,,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_23h47.32.675,mouse,,2025.1.1,59.76539690575014,2025-06-17 23h47.35.126749 +0200,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.687962699972559,9.70277619996341,11.204144299961627,,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_23h47.32.675,mouse,,2025.1.1,59.76539690575014,2025-06-17 23h47.35.126749 +0200,
0,0,0,stimuli/mouse_left.jpg,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[1],[0],[0],[0.4465455999597907],,,,,,,0,0,0,0,0,0,0,0,,,,,11.216900300001726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.211990799987689,11.216900300001726,11.402393999975175,11.402393999975175,11.418368099955842,11.836565199948382,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[1],[0],[0],[0.4465455999597907],,,,,,,,,,,,,pilot,001,2025-06-17_23h47.32.675,mouse,,2025.1.1,59.76539690575014,2025-06-17 23h47.35.126749 +0200,
1,1,0,stimuli/mouse_right.jpg,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[0],[0],[1],[0.45016209996538237],,,,,,,0,0,0,0,0,1,1,1,,,,,11.851062899979297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.838605500000995,11.851062899979297,12.051066699961666,12.051066699961666,12.051066699961666,12.48907239997061,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[0],[0],[1],[0.45016209996538237],,,,,,,,,,,,,pilot,001,2025-06-17_23h47.32.675,mouse,,2025.1.1,59.76539690575014,2025-06-17 23h47.35.126749 +0200,
2,0,1,stimuli/mouse_right.jpg,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[0],[0],[1],[0.3199130999855697],,,,,,,0,0,0,0,1,0,2,1,,,,,12.500460499955807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.491607699950691,12.500460499955807,12.701940400002059,12.701940400002059,12.701940400002059,13.007335899979807,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[0],[0],[1],[0.3199130999855697],,,,,,,,,,,,,pilot,001,2025-06-17_23h47.32.675,mouse,,2025.1.1,59.76539690575014,2025-06-17 23h47.35.126749 +0200,
3,1,1,stimuli/mouse_left.jpg,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[1],[0],[0],[0.2342950999736786],,,,,,,0,0,0,0,1,1,3,0,,,,,13.017022399988491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.011514399957377,13.017022399988491,13.217762499989476,13.217762499989476,13.217762499989476,13.43793099996401,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[1],[0],[0],[0.2342950999736786],,,,,,,,,,,,,pilot,001,2025-06-17_23h47.32.675,mouse,,2025.1.1,59.76539690575014,2025-06-17 23h47.35.126749 +0200,
4,0,2,stimuli/mouse_left.jpg,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[1],[0],[0],[0.29974220000440255],,,,,,,0,0,0,0,2,0,4,0,,,,,13.451272499980405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.439865799969994,13.451272499980405,13.652140599966515,13.652140599966515,13.652140599966515,13.939840999955777,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[1],[0],[0],[0.29974220000440255],,,,,,,,,,,,,pilot,001,2025-06-17_23h47.32.675,mouse,,2025.1.1,59.76539690575014,2025-06-17 23h47.35.126749 +0200,
5,1,2,stimuli/mouse_right.jpg,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[0],[0],[1],[0.31813959998544306],,,,,,,0,0,0,0,2,1,5,1,,,,,13.95033829996828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.943054699979257,13.95033829996828,14.150904799986165,14.150904799986165,14.150904799986165,14.457291799946688,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[0],[0],[1],[0.31813959998544306],,,,,,,,,,,,,pilot,001,2025-06-17_23h47.32.675,mouse,,2025.1.1,59.76539690575014,2025-06-17 23h47.35.126749 +0200,
6,0,3,stimuli/mouse_left.jpg,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[1],[0],[0],[0.27036050002789125],,,,,,,0,0,0,0,3,0,6,0,,,,,14.467127299983986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.461143199994694,14.467127299983986,14.667585699993651,14.667585699993651,14.667585699993651,14.923240999982227,[np.float64(-0.006666666666666667)],[np.float64(-0.07)],[1],[0],[0],[0.27036050002789125],,,,,,,,,,,,,pilot,001,2025-06-17_23h47.32.675,mouse,,2025.1.1,59.76539690575014,2025-06-17 23h47.35.126749 +0200,
