thisN,thisTrialN,thisRepN,mouse_stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,instrutions_text.started,mouse_3.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trial.started,mouse_none.started,mouse_none.stopped,image.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,mouse_none_2.stopped,image_2.started,mouse_2.started,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0037069000536575913,0.020002400036901236,1.0039821000536904,3.089984500024002,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[2.099311000027228],,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
0,0,0,stimuli/mouse_left.jpg,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.45217639999464154],,,,,,,0,0,0,0,0,0,0,0,,,,,3.1029052000376396,,,,,,,,,,,,3.0980798000236973,3.1029052000376396,3.3044350999989547,3.3044350999989547,3.3044350999989547,3.7421628000447527,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.45217639999464154],,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
1,1,0,stimuli/mouse_right.jpg,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[0],[0],[1],[0.3153999999631196],,,,,,,0,0,0,0,0,1,1,1,,,,,3.7532218000269495,,,,,,,,,,,,3.7451815000385977,3.7532218000269495,3.953885100025218,3.953885100025218,3.953885100025218,4.256128500041086,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[0],[0],[1],[0.3153999999631196],,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
2,0,1,stimuli/mouse_left.jpg,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.26562960003502667],,,,,,,0,0,0,0,1,0,2,0,,,,,4.269830700010061,,,,,,,,,,,,4.258695900032762,4.269830700010061,4.4708754000021145,4.4708754000021145,4.4708754000021145,4.722228600003291,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.26562960003502667],,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
3,1,1,stimuli/mouse_right.jpg,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.24804189999122173],,,,,,,0,0,0,0,1,1,3,1,,,,,4.736933000036515,,,,,,,,,,,,4.724603600043338,4.736933000036515,4.938379300001543,4.921017300046515,4.921017300046515,5.157267400005367,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.24804189999122173],,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
4,0,2,stimuli/mouse_left.jpg,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.3182987999753095],,,,,,,0,0,0,0,2,0,4,0,,,,,5.1696163000306115,,,,,,,,,,,,5.159766900003888,5.1696163000306115,5.37011740001617,5.37011740001617,5.37011740001617,5.675660200009588,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.3182987999753095],,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
5,1,2,stimuli/mouse_right.jpg,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[0],[0],[1],[0.2993702000239864],,,,,,,0,0,0,0,2,1,5,1,,,,,5.686711400048807,,,,,,,,,,,,5.678341899998486,5.686711400048807,5.8871364000369795,5.8871364000369795,5.8871364000369795,6.173802400007844,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[0],[0],[1],[0.2993702000239864],,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
6,0,3,stimuli/mouse_right.jpg,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[0],[0],[1],[0.31517979997443035],,,,,,,0,0,0,0,3,0,6,1,,,,,6.1875257000210695,,,,,,,,,,,,6.176559600047767,6.1875257000210695,6.387417900026776,6.387417900026776,6.387417900026776,6.690103500033729,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[0],[0],[1],[0.31517979997443035],,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
7,1,3,stimuli/mouse_left.jpg,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.2879741000360809],,,,,,,0,0,0,0,3,1,7,0,,,,,6.703245200042147,,,,,,,,,,,,6.6926138999988325,6.703245200042147,6.902783300029114,6.902783300029114,6.902783300029114,7.17568070004927,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.2879741000360809],,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
8,0,4,stimuli/mouse_left.jpg,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.2682889000279829],,,,,,,0,0,0,0,4,0,8,0,,,,,7.186394500022288,,,,,,,,,,,,7.177718100021593,7.186394500022288,7.387359200045466,7.387359200045466,7.387359200045466,7.642122700053733,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[1],[0],[0],[0.2682889000279829],,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
9,1,4,stimuli/mouse_right.jpg,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[0],[0],[1],[0.24862569995457307],,,,,,,0,0,0,0,4,1,9,1,,,,,7.652965100016445,,,,,,,,,,,,7.645091600017622,7.652965100016445,7.854034600022715,7.854034600022715,7.854034600022715,8.0881922999979,[np.float64(0.025)],[np.float64(-0.043333333333333335)],[0],[0],[1],[0.24862569995457307],,,,,,,,,,,,,pilot,001,2025-06-17_23h58.55.606,mouse,,2025.1.1,60.880168966364046,2025-06-17 23h58.58.308472 +0200,
