thisN,thisTrialN,thisRepN,mouse_stim_side,stim_type,stim_side,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,instructions.started,instrutions_text.started,mouse_3.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,trial.started,mouse_none.started,image.started,mouse.started,mouse_none.stopped,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trial_letter.started,mouse_none_2.started,image_2.started,mouse_2.started,mouse_none_2.stopped,trial_letter.stopped,trials_2.mouse_2.x,trials_2.mouse_2.y,trials_2.mouse_2.leftButton,trials_2.mouse_2.midButton,trials_2.mouse_2.rightButton,trials_2.mouse_2.time,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008253200037870556,0.023448900028597564,1.007852200011257,1.048241600045003,[np.float64(0.028333333333333332)],[np.float64(-0.16333333333333333)],[1],[0],[0],[0.055343099986203015],,,,,,,,,,,,,,,,,,,,,,,,,pilot,001,2025-06-18_00h22.37.775,mouse,,2025.1.1,59.48061526650506,2025-06-18 00h22.42.437108 +0200,
0,0,0,stimuli/mouse_right.jpg,button,R,[np.float64(0.028333333333333332)],[np.float64(-0.16333333333333333)],[0],[0],[1],[1.0348156999680214],,,,,,,0,0,0,0,0,0,0,1,,,,,1.0911241000285372,,,,,,,,,,,,1.0763776000239886,1.0911241000285372,1.2572899000369944,1.2572899000369944,1.2913407000014558,2.280189600016456,[np.float64(0.028333333333333332)],[np.float64(-0.16333333333333333)],[0],[0],[1],[1.0348156999680214],,,,,,,,,,,,,pilot,001,2025-06-18_00h22.37.775,mouse,,2025.1.1,59.48061526650506,2025-06-18 00h22.42.437108 +0200,
1,1,0,stimuli/mouse_left.jpg,button,L,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[1],[0],[0],[0.381512499996461],,,,,,,0,0,0,0,0,1,1,0,,,,,2.3063138000434265,,,,,,,,,,,,2.293210000032559,2.3063138000434265,2.4953215999994427,2.4953215999994427,2.5084617999964394,2.860943900013808,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[1],[0],[0],[0.381512499996461],,,,,,,,,,,,,pilot,001,2025-06-18_00h22.37.775,mouse,,2025.1.1,59.48061526650506,2025-06-18 00h22.42.437108 +0200,
2,0,1,stimuli/mouse_left.jpg,button,L,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[1],[0],[0],[0.28401290002511814],,,,,,,0,0,0,0,1,0,2,0,,,,,2.8733544000424445,,,,,,,,,,,,2.8639494000235572,2.8733544000424445,3.0745454000425525,3.0745454000425525,3.0745454000425525,3.3472352999961004,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[1],[0],[0],[0.28401290002511814],,,,,,,,,,,,,pilot,001,2025-06-18_00h22.37.775,mouse,,2025.1.1,59.48061526650506,2025-06-18 00h22.42.437108 +0200,
3,1,1,stimuli/mouse_right.jpg,button,R,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[0],[0],[1],[0.31639749999158084],,,,,,,0,0,0,0,1,1,3,1,,,,,3.3571503999992274,,,,,,,,,,,,3.351628400036134,3.3571503999992274,3.557828699995298,3.557828699995298,3.557828699995298,3.861685900017619,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[0],[0],[1],[0.31639749999158084],,,,,,,,,,,,,pilot,001,2025-06-18_00h22.37.775,mouse,,2025.1.1,59.48061526650506,2025-06-18 00h22.42.437108 +0200,
4,0,2,stimuli/mouse_left.jpg,button,L,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[1],[0],[0],[0.3156783999875188],,,,,,,0,0,0,0,2,0,4,0,,,,,3.873706500045955,,,,,,,,,,,,3.8648950000060722,3.873706500045955,4.075366000004578,4.075366000004578,4.075366000004578,4.378779600025155,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[1],[0],[0],[0.3156783999875188],,,,,,,,,,,,,pilot,001,2025-06-18_00h22.37.775,mouse,,2025.1.1,59.48061526650506,2025-06-18 00h22.42.437108 +0200,
5,1,2,stimuli/mouse_right.jpg,button,R,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[0],[0],[1],[0.300480299978517],,,,,,,0,0,0,0,2,1,5,1,,,,,4.391321100003552,,,,,,,,,,,,4.382804299995769,4.391321100003552,4.591180699993856,4.591180699993856,4.591180699993856,4.87748060002923,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[0],[0],[1],[0.300480299978517],,,,,,,,,,,,,pilot,001,2025-06-18_00h22.37.775,mouse,,2025.1.1,59.48061526650506,2025-06-18 00h22.42.437108 +0200,
6,0,3,stimuli/mouse_right.jpg,button,R,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[0],[0],[1],[0.33479580003768206],,,,,,,0,0,0,0,3,0,6,1,,,,,4.889817500021309,,,,,,,,,,,,4.880727600015234,4.889817500021309,5.0905242000008,5.0905242000008,5.0905242000008,5.41134560003411,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[0],[0],[1],[0.33479580003768206],,,,,,,,,,,,,pilot,001,2025-06-18_00h22.37.775,mouse,,2025.1.1,59.48061526650506,2025-06-18 00h22.42.437108 +0200,
7,1,3,stimuli/mouse_left.jpg,button,L,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[1],[0],[0],[0.31939419999253005],,,,,,,0,0,0,0,3,1,7,0,,,,,5.424208500015084,,,,,,,,,,,,5.414300300006289,5.424208500015084,5.6241645000409335,5.6241645000409335,5.6241645000409335,5.93010639998829,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[1],[0],[0],[0.31939419999253005],,,,,,,,,,,,,pilot,001,2025-06-18_00h22.37.775,mouse,,2025.1.1,59.48061526650506,2025-06-18 00h22.42.437108 +0200,
8,0,4,stimuli/mouse_left.jpg,button,L,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[1],[0],[0],[0.26644440001109615],,,,,,,0,0,0,0,4,0,8,0,,,,,5.9406354000093415,,,,,,,,,,,,5.932193899992853,5.9406354000093415,6.140564400004223,6.140564400004223,6.140564400004223,6.392041900020558,[np.float64(0.035)],[np.float64(-0.17166666666666666)],[1],[0],[0],[0.26644440001109615],,,,,,,,,,,,,pilot,001,2025-06-18_00h22.37.775,mouse,,2025.1.1,59.48061526650506,2025-06-18 00h22.42.437108 +0200,
