instructions.started,instructions.stopped,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.time,participant,session,date,expName,psychopyVersion,OS,frameRate,trial.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,mouse_stim_side,stim_type,stim_side,thank_you.started,thank_you.stopped,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time
0.0001,1.8438,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.8334000000001378],rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,1.8456,2.6104,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.5498000000000474],0,0,0,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,2.6107,3.1775,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.3502000000001857],0,1,1,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,3.1782,3.7611,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.3664999999999985],0,2,2,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,3.7617,4.2765,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.29840000000013944],0,3,3,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,4.2773,4.8442,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.3495000000000026],1,0,4,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,4.8449,5.4782,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.41740000000014277],1,1,5,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,5.4791,5.911,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.2170000000000023],1,2,6,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,5.9117,6.6778,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.5501000000000928],1,3,7,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,6.6787,7.3271,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.43299999999999983],2,0,8,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,7.3276,7.944,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.41620000000018464],2,1,9,3,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,7.9446,8.6107,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.44990000000014163],2,2,10,1,1,stimuli/mouse_right.jpg,button,R,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,8.6112,9.1941,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.36669999999995184],2,3,11,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,9.1948,9.7765,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.3656999999999542],3,0,12,2,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
,,,,,,,,rahul01,001,2025-06-18_20h25.10.926,mouse,2025.1.1,MacIntel,60.24096386,9.777,10.3606,[-0.048955502717391304],[-0.0439750339673913],[1],[0],[0],[0.3834000000001403],3,1,13,0,1,stimuli/mouse_left.jpg,button,L,,,,,,,,
